study_hours,attendance,previous_score,sleep_hours,final_score
6.22,54.51,57.13,5.34,86.26
3.22,73.69,72.34,6.44,84.3
2.79,70.89,46.67,6.5,63.81
3.25,81.8,75.69,5.11,74.19
5.37,84.1,61.4,8.3,82.65
4.49,100.0,59.38,7.55,92.12
3.21,91.41,75.66,6.23,79.2
4.77,73.08,71.66,6.53,76.24
4.15,69.22,59.59,6.75,80.96
5.45,85.9,82.39,4.05,100.0
2.95,64.16,48.78,6.2,67.12
3.51,100.0,74.24,5.68,91.24
3.41,94.15,73.9,5.3,84.82
1.8,74.37,60.36,6.16,67.49
4.44,59.44,69.89,8.66,89.12
4.39,96.25,46.23,7.27,81.65
4.01,78.63,78.86,5.81,87.35
3.65,94.85,62.23,7.19,86.12
1.88,60.87,57.16,8.18,63.54
3.37,72.81,80.74,7.61,89.68
3.49,80.06,54.43,6.57,75.48
2.8,80.56,43.87,5.72,64.29
3.76,74.6,41.65,7.34,75.71
4.61,87.47,74.09,6.97,86.8
6.83,67.19,45.79,7.57,88.47
4.26,78.29,91.32,7.26,93.69
4.39,81.44,33.77,7.76,81.18
3.89,86.17,90.45,5.86,93.8
1.12,88.54,68.17,8.08,73.6
3.96,66.5,63.55,6.74,82.86
4.09,61.59,56.83,8.99,86.18
7.69,95.33,70.99,5.67,100.0
3.71,83.99,64.44,8.58,85.03
4.45,71.02,81.55,6.74,82.11
3.95,98.61,66.71,5.72,80.99
2.25,81.39,67.25,5.92,72.47
5.71,94.15,59.55,6.12,89.08
5.13,80.81,64.15,7.01,87.87
5.19,100.0,69.62,7.13,96.27
2.64,100.0,39.35,5.81,73.32
6.1,77.01,44.78,6.47,84.8
1.9,91.66,76.15,9.07,85.09
4.88,87.74,67.56,8.57,93.17
7.29,96.42,62.24,7.02,92.98
2.51,68.42,65.28,6.55,67.64
3.15,88.23,70.21,6.64,81.63
4.15,92.7,56.9,7.24,78.64
3.24,58.9,53.33,5.27,70.52
1.67,65.8,67.94,6.19,75.54
4.1,55.53,50.32,4.5,74.85
2.41,76.77,71.12,6.98,75.52
4.71,88.61,39.46,7.28,87.88
2.62,98.03,80.44,5.92,85.39
6.32,80.89,72.09,8.39,97.98
2.83,99.54,68.84,5.03,77.58
3.52,63.44,79.74,4.74,76.96
5.22,59.56,89.98,6.77,90.7
2.15,79.33,80.22,7.76,81.16
4.34,84.61,37.39,8.52,79.53
5.96,79.61,45.81,5.95,84.68
1.59,55.19,55.63,7.79,65.09
4.28,78.93,65.39,6.45,89.64
4.39,64.35,72.76,6.29,87.69
5.17,88.04,54.11,7.56,80.73
2.14,84.4,67.8,7.28,63.71
2.02,68.72,53.67,4.61,67.65
4.78,73.83,55.83,8.27,77.49
4.45,67.29,43.9,8.16,75.53
4.38,79.25,51.15,5.75,72.37
4.52,91.46,44.72,6.97,72.57
2.98,68.17,50.36,7.09,72.92
4.35,86.05,80.8,6.81,95.55
4.44,73.64,50.76,5.84,74.25
2.93,70.49,100.0,5.69,72.85
6.8,78.72,72.4,6.47,95.98
4.71,67.58,67.77,7.91,87.99
2.21,73.36,52.12,7.15,60.98
4.98,65.63,75.5,6.06,87.76
2.54,100.0,56.37,7.43,78.48
5.18,80.42,66.83,3.08,86.92
5.74,71.6,100.0,7.88,100.0
2.77,82.57,63.56,4.41,68.49
5.45,78.65,82.24,6.07,100.0
4.62,77.35,54.45,5.16,78.43
5.23,87.37,64.48,4.95,87.86
6.85,89.09,91.56,7.89,100.0
3.63,73.63,55.6,5.94,72.72
2.87,73.09,92.19,6.92,80.83
2.67,76.7,75.62,6.44,77.77
2.78,52.38,56.56,7.07,75.94
3.88,61.82,74.49,6.59,73.98
4.51,96.4,79.59,4.96,83.89
4.42,99.74,74.33,7.7,100.0
5.24,77.01,41.45,5.91,77.78
4.02,86.92,54.09,4.63,74.36
6.18,83.74,61.29,5.99,97.46
3.6,100.0,63.88,8.3,84.8
8.08,93.43,74.31,7.52,100.0
4.94,78.46,67.67,6.08,90.5
2.71,68.53,44.97,6.08,63.13
2.39,60.72,70.7,6.11,81.85
4.72,82.44,74.16,8.99,90.64
3.66,70.92,73.4,6.96,85.89
5.07,62.93,81.21,7.02,91.53
4.71,72.24,77.51,7.74,96.85
3.89,67.02,71.89,6.79,89.36
2.73,100.0,63.95,6.19,80.47
1.73,90.58,40.09,6.26,60.94
3.33,79.9,71.44,6.41,83.55
5.28,97.76,68.12,6.46,91.0
4.32,80.93,69.07,7.37,97.14
2.13,69.66,45.85,6.56,64.65
4.26,98.28,48.78,7.38,82.18
4.58,86.47,80.8,6.4,93.31
2.67,67.55,64.41,6.59,65.96
4.23,77.72,75.22,4.1,78.2
4.09,69.49,65.42,7.6,88.11
2.29,63.41,65.45,6.92,67.27
4.54,91.11,79.07,7.7,89.45
4.84,100.0,57.26,3.02,86.47
5.62,63.22,66.44,9.01,96.62
5.58,86.76,58.07,6.33,93.01
1.93,72.19,58.48,7.83,74.91
2.59,74.15,60.36,5.25,66.73
4.77,72.89,68.33,7.24,79.75
4.77,69.63,57.82,5.24,86.86
4.77,80.58,83.84,5.75,90.36
9.78,70.03,51.58,8.8,100.0
4.86,83.25,62.2,6.27,92.91
5.7,79.4,58.4,6.76,91.73
5.43,77.13,86.7,7.54,100.0
4.98,69.11,67.95,7.09,97.41
3.53,73.08,80.48,6.68,80.88
5.14,89.06,42.72,6.94,87.96
2.84,86.01,69.01,9.38,84.22
3.64,68.27,78.34,6.43,83.7
3.27,81.19,66.23,6.74,87.59
4.12,89.02,80.98,7.76,95.39
7.47,59.97,57.24,7.83,96.82
1.2,86.52,86.14,7.92,85.02
5.03,72.05,99.48,7.27,97.05
1.58,86.85,59.56,5.13,63.96
3.29,70.84,58.32,8.46,72.05
5.63,58.34,86.8,5.12,80.99
4.1,60.47,88.69,6.86,97.22
2.38,80.58,57.16,5.59,64.94
2.93,83.12,58.7,6.42,74.49
5.02,69.15,60.77,6.89,82.61
2.9,87.66,44.83,6.89,74.0
4.32,60.06,51.22,7.01,79.15
4.07,79.21,49.94,8.44,84.58
3.02,65.47,53.48,7.04,67.85
7.22,72.18,64.48,6.21,95.17
4.95,80.57,68.51,7.66,91.77
0.96,69.68,88.26,7.93,73.77
4.28,75.39,50.02,5.03,83.33
3.01,92.08,79.76,7.22,89.25
5.28,73.08,61.79,7.34,90.98
2.81,90.03,64.26,6.14,81.58
3.83,66.44,75.12,8.15,90.14
4.76,86.36,48.16,6.32,82.62
5.3,97.3,70.74,6.65,89.07
2.2,50.34,67.5,6.29,68.64
3.5,70.44,72.39,6.52,76.96
3.29,86.92,69.34,5.18,77.57
3.02,77.56,100.0,4.77,89.58
6.65,84.45,55.43,8.41,100.0
4.61,72.75,57.04,5.48,79.52
2.11,81.04,55.65,5.31,69.79
5.38,78.13,56.67,3.92,90.64
7.18,94.01,55.44,5.73,98.63
5.55,83.05,82.84,4.91,100.0
1.72,84.05,86.31,8.47,85.36
3.27,75.06,56.44,7.71,67.65
5.9,74.15,52.51,5.67,88.7
2.94,74.81,72.07,9.2,84.33
4.67,84.73,56.72,7.68,92.33
5.16,74.95,74.49,6.11,93.15
2.61,83.48,68.04,3.5,72.29
3.91,100.0,42.26,9.25,77.1
0.0,90.45,88.21,4.83,69.69
2.46,76.09,91.94,4.53,76.05
3.62,94.41,55.81,7.73,79.93
2.13,75.1,59.18,9.43,77.22
6.45,55.54,69.29,8.16,100.0
1.85,67.9,70.02,7.18,73.49
3.34,57.55,74.88,7.21,72.14
4.2,75.78,95.15,7.52,96.74
6.16,80.22,62.35,7.41,99.79
1.85,100.0,53.03,6.84,70.0
5.74,83.92,44.31,6.63,84.48
4.02,77.37,54.04,6.42,78.04
2.53,89.95,64.5,5.6,72.17
4.69,53.47,91.92,6.16,91.49
4.3,82.83,57.24,4.47,78.33
3.1,89.25,68.36,6.38,83.41
4.1,62.26,64.75,5.31,72.28
3.42,93.73,82.83,5.18,85.11
4.17,84.06,100.0,6.72,100.0
4.99,75.02,57.04,8.17,84.07
6.38,87.59,57.66,7.6,100.0
2.14,100.0,80.66,4.62,78.87
7.2,82.18,75.23,5.31,100.0
1.07,82.98,92.7,7.63,84.66
3.77,74.49,73.76,5.32,74.19
4.88,69.8,59.61,6.23,73.27
4.42,89.96,73.86,7.16,83.56
3.07,69.73,81.63,5.34,85.65
3.69,80.86,77.31,6.63,82.89
3.26,74.27,72.61,4.9,90.42
3.12,85.75,81.0,5.78,81.21
5.27,84.0,82.54,6.88,97.51
4.54,92.45,85.73,4.59,100.0
2.96,73.88,74.73,7.03,90.0
5.35,76.76,62.49,6.48,97.83
4.46,68.25,67.2,7.16,89.68
5.22,74.67,83.1,6.77,99.12
4.94,84.53,52.75,8.14,89.48
